date,position,strategy_return,strategy_return_after_cost,trade,nav
2017-01-16,512010,-0.006153846153846176,-0.006153846153846176,False,0.7231916562684624
2017-01-17,512010,0.003095975232198178,0.003095975232198178,False,0.7254306397244019
2017-01-18,512010,0.0030864197530864335,0.0030864197530864335,False,0.7276696231803415
2017-01-19,512010,0.0,0.0,False,0.7276696231803415
2017-01-20,512010,0.006153846153846176,0.006153846153846176,False,0.7321475900922205
2017-01-23,512010,-0.003058103975535187,-0.003058103975535187,False,0.729908606636281
2017-01-24,512010,-0.0030674846625766694,-0.0030674846625766694,False,0.7276696231803415
2017-01-25,512010,0.009230769230769154,0.009230769230769154,False,0.73438657354816
2017-01-26,512010,0.012195121951219523,0.012195121951219523,False,0.743342507371918
2017-02-03,512010,0.0,0.0,False,0.743342507371918
2017-02-06,512010,0.009036144578313365,0.009036144578313365,False,0.7500594577397366
2017-02-07,512010,-0.014925373134328401,-0.014925373134328401,False,0.738864540460039
2017-02-08,512010,0.003030303030302939,0.003030303030302939,False,0.7411035239159784
2017-02-09,512010,0.0,0.0,False,0.7411035239159784
