date,portfolio_value,nav,daily_return
2016-06-28,99748.4016213708,0.997484016213708,0.008875739644970349
2016-06-29,100040.91892817833,1.0004091892817832,0.0029325513196480912
2016-06-30,100040.91892817833,1.0004091892817832,0.0
2016-07-01,100898.29119056463,1.0089829119056464,0.008570215783421764
2016-07-04,101044.51656296264,1.0104451656296265,0.0014492353703179361
2016-07-05,101482.48336978396,1.0148248336978396,0.004334394598725311
2016-07-06,103254.67186664781,1.032546718666478,0.017462998913874817
2016-07-07,104738.45473791198,1.0473845473791197,0.01437012819313832
2016-07-08,104133.57369529773,1.0413357369529772,-0.0057751572154453035
2016-07-11,106416.98954101746,1.0641698954101746,0.02192775840384753
2016-07-12,108251.99282274247,1.0825199282274247,0.0172435180664241
2016-07-13,108599.93805851275,1.0859993805851276,0.0032142155234040626
2016-07-14,107963.49512278722,1.0796349512278722,-0.0058604355315803325
2016-07-15,108165.48302124235,1.0816548302124236,0.0018708906952800142
2016-07-18,107356.84410247802,1.07356844102478,-0.007475942381781175
2016-07-19,106601.7669357035,1.0660176693570351,-0.0070333398218538346
2016-07-20,107210.63105254705,1.0721063105254705,0.005711576218157655
2016-07-21,106746.36556157707,1.0674636556157706,-0.00433040535637208
2016-07-22,105791.16740909618,1.0579116740909618,-0.008948296716761561
2016-07-25,107011.09170806792,1.0701109170806793,0.011531438104414482
2016-07-26,108024.61665101754,1.0802461665101755,0.00947121393466932
2016-07-27,107099.38754156079,1.0709938754156079,-0.008564983965143602
2016-07-28,107443.70093871602,1.0744370093871602,0.0032148960424411843
2016-07-29,108982.71284670655,1.0898271284670655,0.014323891438441372
2016-08-01,107509.67966023026,1.0750967966023026,-0.013516209571221016
2016-08-02,106520.68053205089,1.0652068053205088,-0.009199163566526947
2016-08-03,106982.36937587826,1.0698236937587826,0.00433426487252353
2016-08-04,107325.22688339127,1.0732522688339128,0.0032048038336895956
2016-08-05,107984.81032296152,1.0798481032296152,0.006145651481239245
2016-08-08,107814.45060129523,1.0781445060129524,-0.0015776267158017498
2016-08-09,108280.40022492153,1.0828040022492154,0.004321773389630357
2016-08-10,108280.40021993047,1.0828040021993046,-4.60937954471774e-11
2016-08-11,108257.06827705464,1.0825706827705464,-0.00021547706536395594
2016-08-12,108966.34308296473,1.0896634308296473,0.006551764399298943
2016-08-15,109554.59674709261,1.095545967470926,0.005398489547180585
